rating,date,source,text
5,2026-02-28,App Store,"Best platform for long stays. Did 8 weeks in Mexico City for $1,200/month in a beautiful 1BR. You can't do that anywhere else. Find a good host and you can live like a local for less than rent in most cities. The platform isn't perfect but the value proposition is real if you're willing to do the search work."
1,2026-04-06,Trustpilot,"The 72-hour window for hosts to accept refund requests is absurd. Guests lose right to partial refunds while the host drags out responses. The system favours hosts in disputes and the timing rules are weaponised. Listings also fail to disclose important details — in my case the property was in council housing, complete dealbreaker if disclosed. By the time you arrive and discover, you've lost the money."
3,2026-04-13,Google Play,"Airbnb is fine for what it is. I use it for family trips because we need the space for 4 people. Most stays are okay. The platform fees and cleaning fees make it less of a bargain than it used to be — once you total it up, a hotel suite is often comparable cost with more predictability. The math is closer than the marketing suggests."
2,2026-03-25,App Store,"Booked a place that turned out to have a non-functioning heating system in November. Apartment was 4 degrees. Host sent me a YouTube video about how the heater works. Stayed two nights in my coat. Airbnb refunded the rest after I moved to a hotel. Why is heating not in basic listing verification."
1,2026-02-14,App Store,"Total price displayed in search is the single most needed change. I'm comparing 5 listings and have to click through each to see the actual cost. Three of them I'd never have clicked if the total was shown. This is dark pattern design and the company knows it."
5,2026-04-22,Google Play,"Hosting on Airbnb for 7 years. Was a great experience for 5. The last 2 have been a slow decline in support quality and a constant pressure to upgrade everything. After my last damage claim experience — they paid 40% of documented damage with depreciation applied — I'm moving primary listing to Vrbo. Less polished platform but the host experience feels less adversarial. Long-time hosts know."
4,2026-04-09,App Store,"Used Airbnb in 12 countries. It's the default and there's no real alternative for the inventory breadth. The product works. The two biggest problems are pricing transparency and host cancellations. Both have known solutions. The platform hasn't fixed them which suggests they're not actually prioritised. Still using it because of inventory. Loyalty is paper thin."
1,2026-03-11,Trustpilot,"Host left dirty dishes in cupboards, hair in the bathroom drain, stained pillowcase. Charged €95 cleaning fee. I had to clean before using the bathroom. Took photos, contacted support, got €45 back. The host was 'apologetic' but the cleaning fee process is reactive. Why am I doing the work of verifying a service I paid for. Make hosts deliver on what they charge for."
2,2026-04-27,Google Play,"Filters are limited and dated. I want to filter for desk, natural light, real workspace, verified Wi-Fi speed. Booking dot com has more useful filters for actual stays. Airbnb is competing on inventory and brand at this point — the product itself hasn't moved much for guests in years. The host tools have improved. The guest tools haven't."
3,2026-04-29,App Store,"I'm a host who's been at this 3 months. Honest review of the host experience: the onboarding is overwhelming, the pricing benchmarks are vague, the cleaning fee guidance is nonexistent, I'm learning everything by trial and error. Once you figure it out the platform works fine but the new-host experience needs serious thought. There should be a mentorship system or community for first-time hosts. The current docs aren't enough."
